some,random,information,that,we,do,not,need,or,what
,AUD,CAD,EUR,JPY,NZD,NOK,SEK,CHF,GBP
1995-01-31,0.14383,0.15598,-0.08519,-0.29138,0.19805,-0.06425,0.12908,-0.17894,0.019
1995-02-28,0.14739,0.13631,-0.09617,-0.33185,0.24677,-0.10999,0.16885,-0.21906,0.03157
1995-03-31,0.11713,0.16416,-0.12398,-0.40484,0.22202,-0.10589,0.19229,-0.23089,0.01847
1995-04-28,0.13086,0.14698,-0.13713,-0.39946,0.22825,-0.04812,0.21572,-0.24473,0.04975
1995-05-31,0.12199,0.13135,-0.12744,-0.40864,0.23887,-0.01273,0.22039,-0.23173,0.01891
1995-06-30,0.13481,0.08733,-0.13747,-0.43143,0.23384,-0.06168,0.24986,-0.27829,0.05032
1995-07-31,0.15517,0.07299,-0.12283,-0.47136,0.26248,-0.0489,0.28551,-0.29596,0.08139
1995-08-31,0.12776,0.03722,-0.12961,-0.42537,0.2859,-0.07487,0.26267,-0.24097,0.0709
1995-09-29,0.14344,0.0372,-0.16118,-0.51115,0.26971,-0.04462,0.25048,-0.2865,0.06958
1995-10-31,0.15218,0.0448,-0.14916,-0.47546,0.19125,-0.06907,0.25862,-0.3351,0.06958
1995-11-30,0.12631,-0.00736,-0.15913,-0.4777,0.18919,-0.03612,0.24828,-0.30683,0.05882
1995-12-29,0.15612,-0.0,-0.16763,-0.45138,0.25454,-0.02846,0.26637,-0.33044,0.07083
1996-01-31,0.14126,-0.00727,-0.1615,-0.41695,0.24166,0.02609,0.24336,-0.30592,0.07935
1996-02-29,0.16031,-0.0,-0.16341,-0.39538,0.30235,-0.02813,0.21012,-0.31773,0.07183
1996-03-29,0.17189,-0.03669,-0.16949,-0.40756,0.28566,-0.05927,0.13472,-0.30316,0.04587
1996-04-30,0.18061,-0.05878,-0.1765,-0.43536,0.37698,-0.06544,0.11637,-0.30655,0.0532
1996-05-31,0.17552,-0.05839,-0.17067,-0.42262,0.35933,-0.06128,0.08019,-0.22409,0.05157
1996-06-28,0.173,-0.05861,-0.17117,-0.54985,0.37621,-0.05856,0.03925,-0.25643,0.02575
1996-07-31,0.17003,-0.08007,-0.18359,-0.33311,0.37165,-0.06128,0.00757,-0.25084,0.03214
1996-08-30,0.12637,-0.1098,-0.18946,-0.72472,0.35884,-0.03746,-0.01057,-0.2754,0.02561
1996-09-30,0.11858,-0.12489,-0.20323,-0.46233,0.39073,-0.06151,-0.04376,-0.36718,0.03836
1996-10-31,0.11888,-0.17167,-0.1852,-0.40094,0.3177,-0.06116,-0.05329,-0.30164,0.06146
1996-11-29,0.08137,-0.23029,-0.18875,-0.66059,0.28435,-0.11222,-0.10133,-0.29204,0.04759
1996-12-31,0.03982,-0.20457,-0.20006,-0.43724,0.17677,-0.15751,-0.12959,-0.319,0.05839
1997-01-31,0.01891,-0.1819,-0.17479,-0.3879,0.13806,-0.16203,-0.08785,-0.29202,0.05618
1997-02-28,0.03591,-0.20212,-0.18261,-0.42971,0.18085,-0.17526,-0.10341,-0.31371,0.05395
1997-03-31,0.03518,-0.20651,-0.207,-0.42778,0.14691,-0.21241,-0.13216,-0.31843,0.0335
1997-04-30,0.02135,-0.21989,-0.21273,-0.43828,0.09088,-0.20243,-0.1167,-0.33993,0.05363
1997-05-30,-0.02379,-0.21046,-0.21129,-0.41707,0.11879,-0.19066,-0.1094,-0.39237,0.06237
1997-06-30,-0.03406,-0.2097,-0.23441,-0.47302,0.09004,-0.20305,-0.12488,-0.38692,0.09017
1997-07-31,-0.05592,-0.18901,-0.17709,-0.43278,0.23459,-0.15693,-0.1024,-0.34847,0.10998
1997-08-29,-0.07155,-0.18021,-0.20352,-0.42195,0.19885,-0.16784,-0.10896,-0.36452,0.12401
1997-09-30,-0.08216,-0.19182,-0.21709,-0.46742,0.17826,-0.18562,-0.11943,-0.37459,0.12884
1997-10-31,-0.06229,-0.14915,-0.17504,-0.42954,0.17971,-0.17085,-0.10361,-0.32637,0.12949
1997-11-28,-0.09698,-0.18422,-0.1901,-0.55629,0.0957,-0.20949,-0.12895,-0.39145,0.13364
1997-12-31,-0.07727,-0.10837,-0.18258,-0.45865,0.27073,-0.186,-0.08763,-0.37779,0.14902
1998-01-30,-0.0522,-0.0479,-0.16151,-0.39312,0.27902,-0.15517,-0.07094,-0.34758,0.14261
1998-02-27,-0.06683,-0.0731,-0.18476,-0.43592,0.26112,-0.15867,-0.09497,-0.40967,0.15499
1998-03-31,-0.06549,-0.07386,-0.18347,-0.46488,0.35149,-0.15686,-0.10074,-0.37262,0.15957
1998-04-30,-0.05383,-0.06574,-0.17457,-0.46464,0.26849,-0.14827,-0.09243,-0.35599,0.15023
1998-05-29,-0.06079,-0.06325,-0.17628,-0.42706,0.21502,-0.09497,-0.09262,-0.32516,0.14483
1998-06-30,-0.05532,-0.07074,-0.19021,-0.46185,0.20441,-0.07757,-0.12359,-0.31167,0.16796
1998-07-31,-0.05978,-0.05574,-0.1874,-0.44113,0.11719,-0.02715,-0.11793,-0.32323,0.16518
1998-08-31,-0.04999,0.02237,-0.18105,-0.43262,0.0343,0.20972,-0.10453,-0.33937,0.16197
1998-09-30,-0.04739,0.00983,-0.16287,-0.43623,-0.03795,0.22267,-0.09795,-0.34807,0.16844
1998-10-30,-0.04888,0.00194,-0.14441,-0.42612,-0.0793,0.22965,-0.09983,-0.34323,0.16255
1998-11-30,-0.05882,-0.05166,-0.17166,-0.50567,-0.18365,0.25756,-0.19619,-0.35276,0.117
1998-12-31,-0.04215,-0.00651,-0.15322,-0.41309,-0.05109,0.29161,-0.13456,-0.33182,0.09922
1999-01-29,-0.02136,0.0086,-0.13829,-0.34891,-0.10396,0.22541,-0.12243,-0.29071,0.0749
1999-02-26,-0.02895,0.0106,-0.15334,-0.40495,-0.03815,0.25925,-0.15599,-0.35395,0.05682
1999-03-31,-0.01288,-0.00859,-0.16961,-0.44429,-0.0375,0.17452,-0.16005,-0.3106,0.03098
1999-04-30,-0.01876,-0.00893,-0.19926,-0.41093,-0.03037,0.17002,-0.15885,-0.33422,0.03168
1999-05-31,-0.01578,-0.01896,-0.19534,-0.40354,-0.03181,0.15365,-0.15339,-0.3276,0.02807
1999-06-30,-0.03164,-0.04257,-0.22487,-0.44132,-0.05848,0.1022,-0.18483,-0.34925,-0.0222
1999-07-30,-0.04364,-0.03999,-0.21967,-0.44231,-0.05467,0.10332,-0.18004,-0.36033,-0.00679
1999-08-31,-0.06121,-0.05229,-0.2444,-0.46943,-0.06574,0.06942,-0.21393,-0.39481,-0.03731
1999-09-30,-0.04971,-0.06331,-0.24204,-0.45893,-0.06195,0.02579,-0.19475,-0.35984,-0.00729
1999-10-29,-0.04664,-0.05985,-0.21249,-0.44272,-0.06912,0.02932,-0.18589,-0.34844,-0.00366
1999-11-30,-0.11925,-0.14606,-0.26136,-0.55002,-0.12353,-0.04467,-0.23908,-0.39363,-0.05649
1999-12-31,-0.05989,-0.06893,-0.22934,-0.51719,-0.05751,-0.01182,-0.2074,-0.38934,-0.01551
2000-01-31,-0.05905,-0.06697,-0.20981,-0.4649,-0.0424,-0.01754,-0.17927,-0.30769,0.00123
2000-02-29,-0.04213,-0.07515,-0.21732,-0.50878,-0.02883,-0.0149,-0.17296,-0.32719,0.00887
2000-03-31,-0.03568,-0.07097,-0.2052,-0.56759,-0.01812,-0.02785,-0.1871,-0.29212,-0.0163
2000-04-28,-0.02368,-0.07427,-0.21968,-0.53392,0.00411,-0.00224,-0.20965,-0.2992,-0.02237
2000-05-31,-0.05149,-0.07548,-0.20695,-0.56673,-0.01095,-0.03683,-0.23271,-0.32205,-0.05284
2000-06-30,-0.05152,-0.08035,-0.20458,-0.59199,-0.01062,-0.01228,-0.24943,-0.31104,-0.06471
2000-07-31,-0.05164,-0.07137,-0.2044,-0.6133,-0.0044,0.00169,-0.24454,-0.31564,-0.06074
2000-08-31,-0.02479,-0.0719,-0.15786,-0.51426,-0.00934,0.02589,-0.22332,-0.27871,-0.0536
2000-09-29,-0.02303,-0.06915,-0.15442,-0.58611,-0.0123,0.05066,-0.23124,-0.28738,-0.05071
2000-10-31,-0.03953,-0.06615,-0.14528,-0.55313,-0.01008,0.06073,-0.25131,-0.30133,-0.05921
2000-11-30,-0.06104,-0.08332,-0.14877,-0.51634,-0.0195,0.05068,-0.23709,-0.28558,-0.07898
2000-12-29,-0.04202,-0.0686,-0.15372,-0.51886,-0.0,0.08331,-0.22228,-0.2855,-0.06291
