,AUD,CAD,EUR,JPY,NZD,NOK,SEK,CHF,GBP
1995-01-31,-2.23468,-0.45413,1.35587,-0.50166,0.0064,0.85443,-0.45672,1.49242,0.81721
1995-02-28,-2.50018,1.33534,4.73052,2.8885,-0.74121,3.58752,2.48313,4.07651,0.3357
1995-03-31,-0.53472,-0.36431,6.05685,11.12778,3.44512,5.046,-0.37411,9.20703,2.57641
1995-04-28,-0.56744,3.12569,-1.16841,2.67762,3.03784,-1.61174,1.674,-1.80707,-0.96053
1995-05-31,-1.17039,-0.56955,-2.03071,-1.06974,-0.93005,-0.79586,-0.77358,-2.04029,-1.31865
1995-06-30,-0.99404,-0.16017,2.05336,-0.62511,0.92977,1.93428,1.15052,1.06817,0.24587
1995-07-31,4.28899,0.3797,-0.26717,-4.33994,0.98389,0.36177,3.23001,-0.19122,0.54112
1995-08-31,1.8499,2.04006,-5.70591,-10.1616,-3.18844,-4.36579,-2.94247,-4.79708,-2.78717
1995-09-29,0.59686,-0.00744,2.58385,-1.71126,1.52164,2.10627,5.49438,4.20459,1.96647
1995-10-31,0.93664,0.39585,1.19952,-3.62347,0.48188,0.74187,4.71846,1.25891,0.0696
1995-11-30,-2.21561,-1.35503,-2.74456,-0.00491,-0.88808,-2.29688,1.55864,-3.65926,-3.15743
1995-12-29,0.19344,-0.41804,0.78861,-1.90315,0.26794,0.67515,-0.94485,1.70154,1.5625
1996-01-31,0.15624,-0.84358,-3.819,-3.89434,3.10505,-2.9442,-4.07007,-5.21753,-2.54445
1996-02-29,2.83444,0.16755,1.02048,1.26937,0.36337,1.82358,2.99067,0.80975,1.33624
1996-03-29,2.51799,0.70428,-0.59608,-2.05236,1.52568,-0.24636,1.33613,0.4036,-0.29396
1996-04-30,0.6838,0.0955,-3.74241,1.69467,1.11248,-2.49182,-1.47384,-4.49456,-1.40928
1996-05-31,1.78072,-0.72966,0.24267,-3.34137,-0.71996,0.60801,0.91963,-1.05524,3.21958
1996-06-28,-1.26712,0.32227,0.1184,-1.81411,1.26096,0.52376,1.71222,-0.11204,0.15475
1996-07-31,-1.54703,-0.71309,3.10462,1.93911,0.9929,1.90371,0.25117,4.07516,0.19963
1996-08-30,2.34727,0.4609,-0.676,-2.12952,0.63602,-0.71624,-0.17369,-0.45004,0.4243
1996-09-30,0.21357,0.24227,-3.30081,-3.33632,1.48909,-1.5128,-0.13124,-4.66098,0.17929
1996-10-31,0.37272,1.45425,0.69385,-2.26453,1.54151,1.91268,0.86923,-0.88769,4.07954
1996-11-29,2.7676,-0.67522,-1.78165,-0.57502,0.99665,-0.69943,-2.2118,-3.46865,3.36878
1996-12-31,-2.07089,-1.86118,-1.03797,-2.23758,-0.30432,-0.08103,-2.39814,-3.76268,1.92777
1997-01-31,-4.26465,1.42423,-5.47719,-5.07002,-2.52867,-1.20422,-5.09438,-5.43845,-6.4015
1997-02-28,1.84346,-1.55461,-3.16076,0.19886,0.6035,-3.91179,-3.64026,-3.79322,1.86688
1997-03-31,1.03057,-1.25661,1.00216,-2.93797,0.61545,1.95365,-0.57541,2.06719,0.69789
1997-04-30,-0.24671,-1.36295,-3.85459,-2.85911,-0.04036,-7.53988,-4.10108,-2.53699,-1.14837
1997-05-30,-2.58757,1.1041,1.31449,8.43131,-0.31319,-0.10262,1.39942,3.79586,0.87992
1997-06-30,-1.61344,-0.2247,-2.32985,1.41134,-1.75103,-3.01401,-0.1636,-3.34316,1.79329
1997-07-31,-0.5787,-0.39719,-5.35061,-3.80912,-4.20709,-4.13397,-3.01586,-3.95675,-1.52153
1997-08-29,-1.48034,-0.6417,1.85257,-1.99626,-1.21759,2.0842,1.32149,1.53224,-0.84979
1997-09-30,-1.47423,0.23141,1.71781,-0.78398,0.32444,4.93865,3.42829,1.81781,-0.27102
1997-10-31,-2.73746,-2.04755,2.39789,-0.08564,-2.37261,1.10348,1.19251,3.61429,3.94094
1997-11-28,-2.98639,-1.16614,-2.59709,-6.1669,-0.94431,-2.82474,-3.16734,-2.37427,0.60129
1997-12-31,-4.87402,-0.71414,-2.08832,-2.39031,-5.76265,-2.65382,-2.81741,-2.63746,-2.21093
1998-01-30,5.10884,-2.20618,-1.8151,2.07413,1.01359,-2.89518,-2.22435,-1.5248,-0.48086
1998-02-27,-0.65266,2.66301,0.5648,-0.02177,0.57082,-0.03501,1.19717,0.19624,0.84708
1998-03-31,-2.72325,-0.00281,-2.05202,-5.67995,-5.51464,-0.8827,0.05379,-4.12594,1.86137
1998-04-30,-1.74677,-0.64667,2.87044,0.45902,0.86032,2.06822,3.20011,1.26208,0.00718
1998-05-29,-3.98278,-1.75533,0.4807,-5.08606,-3.39402,-1.13179,-1.26741,1.08008,-2.32346
1998-06-30,-1.19392,-1.12335,-1.40388,-0.584,-2.83575,-1.93328,-1.89658,-2.83492,2.46632
1998-07-31,-1.99053,-2.50381,1.29147,-4.31812,-1.10802,1.55157,0.40401,1.44784,-1.78604
