Date,S&P 500,S&P MidCap 400,S&P Small Cap 600,World Developed - Ex. U.S.,Emerging Markets,US Corporate Bonds,U.S. Treasury Bills,US Treasury,Putnam Asset Allocation: Growth A,Vanguard Wellington,Rf
1999-01-15,-0.02488,-0.01835,0.0,-0.03699,-0.08352,0.01249,0.00095,0.0081,-0.02077,-0.01666,0.00095
1999-01-22,-0.01446,-0.01977,0.0,-0.00226,-0.02436,0.00334,0.00099,0.00432,-0.00686,-0.01442,0.00095
1999-01-29,0.04471,0.0015,-0.01255,0.01176,0.02046,0.00354,0.00098,0.00192,0.02952,0.01103,0.00095
1999-02-05,-0.03118,-0.02495,0.0,-0.01114,0.02363,-0.0162,0.00062,-0.01436,-0.02685,-0.01421,0.00095
1999-02-12,-0.00701,-0.01934,0.0,-0.00763,-0.00198,-0.00217,0.0008,-0.00616,-0.01003,-0.0121,0.00095
1999-02-19,0.00759,-0.0035,0.0,-0.02057,-0.01133,0.0019,0.00081,0.00217,-0.00317,0.00235,0.00095
1999-02-26,-0.00042,-0.00546,-0.09013,0.01117,-0.00177,-0.00738,0.00106,-0.00734,0.00127,-0.00546,0.00095
1999-03-05,0.03042,0.02396,0.0,-0.00154,0.03693,-0.0016,0.00065,-0.00247,0.01396,0.01882,0.00095
1999-03-12,0.01536,-0.00188,0.0,0.03529,0.04406,0.0086,0.00097,0.00726,0.01877,0.01309,0.00095
1999-03-19,0.00374,-0.00482,0.0,0.01914,0.05183,0.00275,0.00091,0.00054,0.00061,0.00101,0.00095
1999-03-26,-0.01264,0.0021,0.0,-0.02741,0.0001,-0.002,0.00081,-0.00141,-0.01044,-0.00582,0.00095
1999-04-02,0.00879,0.01013,0.01291,0.0202,0.03149,-0.0028,0.00082,-0.00246,0.01365,-0.00305,0.00095
1999-04-09,0.04253,0.00648,0.0,0.02756,0.04101,0.01499,0.00104,0.01366,0.03121,0.02579,0.00095
1999-04-16,-0.02169,0.0309,0.0,0.00482,0.07144,-0.00545,0.00089,-0.00573,-0.01009,0.02588,0.00095
1999-04-23,0.02878,0.02548,0.0,-0.0035,0.00181,-0.00068,0.00081,-0.00015,0.01379,0.0114,0.00094
1999-04-30,-0.01571,0.01236,0.06607,0.01287,0.0165,-0.00366,0.00071,-0.00288,-0.00651,0.01031,0.00094
1999-05-07,0.00766,0.0107,0.0,0.00032,0.04533,-0.00804,0.00085,-0.00699,0.00179,0.01614,0.00094
1999-05-14,-0.00477,0.00233,0.0,-0.01886,-0.01774,-0.00302,0.00087,-0.0036,-0.00119,-0.01051,0.00094
1999-05-21,-0.00542,0.00897,0.0,-0.00909,-0.03084,0.00679,0.00098,0.00475,-0.00416,-0.00449,0.00095
1999-05-28,-0.02109,-0.01744,0.0,-0.02356,-0.03147,-0.00909,0.00115,-0.00348,-0.01852,-0.01945,0.00095
1999-06-04,0.02017,0.01983,0.02434,0.01744,0.04648,-0.0079,0.00064,-0.00641,0.01217,0.01234,0.00095
1999-06-11,-0.02532,-0.01149,0.0,0.03972,0.04169,-0.00976,0.00091,-0.00934,-0.00782,-0.0141,0.00096
1999-06-18,0.03814,0.02182,0.0,6.0e-5,0.04315,0.009,0.00095,0.01029,0.02242,0.02206,0.00097
1999-06-25,-0.02047,-0.00905,0.0,-0.00767,-0.0034,-0.00851,0.00079,-0.00825,-0.01482,-0.02419,0.00099
1999-07-02,0.05799,0.03984,0.05692,0.02086,0.05076,0.01133,0.00096,0.01129,0.04332,0.03208,0.001
1999-07-09,0.00906,0.00448,0.0,-0.0012,0.01028,0.00044,0.00089,0.00069,0.00461,0.00141,0.001
1999-07-16,0.01113,0.01489,0.0,0.00966,-0.03497,0.01011,0.00081,0.00805,0.0155,0.0087,0.001
1999-07-23,-0.04351,-0.02893,0.0,-0.01957,-0.04797,-0.00641,0.00101,-0.00605,-0.02996,-0.02308,0.001
1999-07-30,-0.02054,-0.01867,-0.00882,0.01965,-0.00899,-0.00875,0.00086,-0.00293,-0.00816,-0.01408,0.001
