,^GSPC,DTB3
02/01/1979,96.730003,9.41
03/01/1979,97.800003,9.31
04/01/1979,98.580002,9.31
05/01/1979,99.129997,9.34
08/01/1979,98.800003,9.36
09/01/1979,99.330002,9.27
10/01/1979,98.769997,9.25
11/01/1979,99.099998,9.28
12/01/1979,99.93,9.35
15/01/1979,100.690002,9.44
16/01/1979,99.459999,9.44
17/01/1979,99.480003,9.44
18/01/1979,99.720001,9.46
19/01/1979,99.75,9.4
22/01/1979,99.900002,9.34
23/01/1979,100.599998,9.36
24/01/1979,100.160004,9.35
25/01/1979,101.190002,9.33
26/01/1979,101.860001,9.34
29/01/1979,101.550003,9.35
30/01/1979,101.050003,9.27
31/01/1979,99.93,9.29
01/02/1979,99.959999,9.25
02/02/1979,99.5,9.25
05/02/1979,98.089996,9.18
06/02/1979,98.050003,9.21
07/02/1979,97.160004,9.25
08/02/1979,97.650002,9.24
09/02/1979,97.870003,9.31
12/02/1979,98.199997,-999.99
13/02/1979,98.93,9.29
14/02/1979,98.870003,9.27
15/02/1979,98.730003,9.26
16/02/1979,98.669998,9.29
20/02/1979,99.419998,9.38
21/02/1979,99.07,9.42
22/02/1979,98.330002,9.41
23/02/1979,97.779999,9.44
26/02/1979,97.669998,9.46
27/02/1979,96.129997,9.47
28/02/1979,96.279999,9.45
01/03/1979,96.900002,9.4
02/03/1979,96.970001,9.41
05/03/1979,98.059998,9.4
06/03/1979,97.870003,9.42
07/03/1979,98.440002,9.42
08/03/1979,99.580002,9.42
09/03/1979,99.540001,9.52
12/03/1979,99.669998,9.51
13/03/1979,99.839996,9.51
14/03/1979,99.709999,9.52
15/03/1979,99.860001,9.49
16/03/1979,100.690002,9.52
19/03/1979,101.059998,9.5
20/03/1979,100.5,9.52
21/03/1979,101.25,9.56
22/03/1979,101.669998,9.56
23/03/1979,101.599998,9.55
26/03/1979,101.040001,9.54
27/03/1979,102.480003,9.49
28/03/1979,102.120003,9.43
29/03/1979,102.029999,9.39
30/03/1979,101.589996,9.44
02/04/1979,100.900002,9.54
03/04/1979,102.400002,9.52
04/04/1979,102.650002,9.49
05/04/1979,103.260002,9.49
06/04/1979,103.18,9.6
09/04/1979,102.870003,9.62
10/04/1979,103.339996,9.75
11/04/1979,102.309998,9.72
12/04/1979,102,9.69
16/04/1979,101.120003,9.66
17/04/1979,101.239998,9.5
18/04/1979,101.699997,9.29
19/04/1979,101.279999,9.3
20/04/1979,101.230003,9.31
23/04/1979,101.57,9.2
24/04/1979,102.199997,9.1
25/04/1979,102.5,9.07
26/04/1979,102.010002,9.14
27/04/1979,101.800003,9.66
30/04/1979,101.760002,9.56
01/05/1979,101.68,9.5
02/05/1979,101.720001,9.55
03/05/1979,101.809998,9.61
04/05/1979,100.690002,9.68
07/05/1979,99.019997,9.66
08/05/1979,99.169998,9.66
09/05/1979,99.459999,9.64
10/05/1979,98.519997,9.64
11/05/1979,98.519997,9.56
14/05/1979,98.059998,9.55
15/05/1979,98.139999,9.6
16/05/1979,98.419998,9.57
17/05/1979,99.940002,9.57
18/05/1979,99.93,9.72
21/05/1979,100.139999,9.77
22/05/1979,100.510002,9.7
23/05/1979,99.889999,9.67
24/05/1979,99.93,9.53
25/05/1979,100.220001,9.54
29/05/1979,100.050003,9.55
30/05/1979,99.110001,-999.99
31/05/1979,99.080002,9.57
01/06/1979,99.169998,9.52
04/06/1979,99.32,9.54
05/06/1979,100.620003,9.44
06/06/1979,101.300003,9.35
07/06/1979,101.790001,9.29
08/06/1979,101.489998,9.18
11/06/1979,101.910004,9.06
12/06/1979,102.849998,8.88
13/06/1979,102.309998,8.87
14/06/1979,102.199997,8.9
15/06/1979,102.089996,9.15
18/06/1979,101.559998,8.95
19/06/1979,101.580002,8.97
20/06/1979,101.629997,8.94
21/06/1979,102.089996,8.96
22/06/1979,102.639999,8.99
25/06/1979,102.089996,8.75
26/06/1979,101.660004,8.76
27/06/1979,102.269997,8.81
28/06/1979,102.800003,8.9
29/06/1979,102.910004,8.95
02/07/1979,101.989998,8.93
03/07/1979,102.089996,9.06
05/07/1979,102.43,9.19
06/07/1979,103.620003,9.2
09/07/1979,104.470001,9.26
10/07/1979,104.199997,9.32
11/07/1979,103.639999,9.27
12/07/1979,102.690002,9.26
13/07/1979,102.32,9.3
16/07/1979,102.739998,9.36
17/07/1979,101.830002,9.28
18/07/1979,101.690002,9.25
19/07/1979,101.610001,9.26
20/07/1979,101.82,9.42
23/07/1979,101.589996,9.44
24/07/1979,101.970001,9.38
25/07/1979,103.080002,9.22
26/07/1979,103.099998,9.13
27/07/1979,103.099998,9.23
30/07/1979,103.150002,9.09
31/07/1979,103.809998,9.18
01/08/1979,104.169998,9.16
02/08/1979,104.099998,9.33
03/08/1979,104.040001,9.38
06/08/1979,104.300003,9.34
07/08/1979,105.650002,9.4
08/08/1979,105.980003,9.4
09/08/1979,105.489998,9.4
10/08/1979,106.400002,9.46
13/08/1979,107.419998,9.47
14/08/1979,107.519997,9.49
15/08/1979,108.25,9.55
16/08/1979,108.089996,9.52
17/08/1979,108.300003,9.58
20/08/1979,108.830002,9.5
21/08/1979,108.910004,9.54
22/08/1979,108.989998,9.56
23/08/1979,108.629997,9.53
24/08/1979,108.599998,9.64
27/08/1979,109.139999,9.65
28/08/1979,109.019997,9.74
29/08/1979,109.019997,9.77
30/08/1979,109.019997,9.75
31/08/1979,109.32,9.81
04/09/1979,107.440002,10.02
05/09/1979,106.400002,10.07
06/09/1979,106.849998,10.27
07/09/1979,107.660004,10.42
10/09/1979,108.169998,10.55
11/09/1979,107.510002,10.45
12/09/1979,107.82,10.45
13/09/1979,107.849998,10.5
14/09/1979,108.760002,10.29
17/09/1979,108.839996,10.37
18/09/1979,108,10.4
19/09/1979,108.279999,10.2
20/09/1979,110.510002,10.21
21/09/1979,110.470001,10.1
24/09/1979,109.610001,10.03
25/09/1979,109.68,10.06
26/09/1979,109.959999,10.22
27/09/1979,110.209999,10.28
28/09/1979,109.32,10.12
01/10/1979,108.559998,10.15
02/10/1979,109.589996,10.37
03/10/1979,109.589996,10.39
04/10/1979,110.169998,10.56
05/10/1979,111.269997,10.7
08/10/1979,109.879997,-999.99
09/10/1979,106.629997,11.82
10/10/1979,105.300003,11.74
11/10/1979,105.050003,11.57
12/10/1979,104.489998,11.35
15/10/1979,103.360001,11.6
16/10/1979,103.190002,11.84
17/10/1979,103.389999,11.69
18/10/1979,103.610001,12.05
19/10/1979,101.599998,12.37
22/10/1979,100.709999,12.84
23/10/1979,100.279999,13.01
24/10/1979,100.440002,12.72
25/10/1979,100,12.53
26/10/1979,100.57,11.91
29/10/1979,100.709999,12.02
30/10/1979,102.669998,12.08
31/10/1979,101.82,12.12
01/11/1979,102.57,12.06
02/11/1979,102.510002,12.05
05/11/1979,101.82,12.06
06/11/1979,101.199997,-999.99
07/11/1979,99.870003,12.48
08/11/1979,100.300003,12.44
09/11/1979,101.510002,12
12/11/1979,103.510002,-999.99
13/11/1979,102.940002,12.06
14/11/1979,103.389999,11.94
15/11/1979,104.129997,11.7
16/11/1979,103.790001,11.91
19/11/1979,104.230003,11.99
20/11/1979,103.690002,11.92
21/11/1979,103.889999,11.81
23/11/1979,104.669998,11.34
26/11/1979,106.800003,11.05
27/11/1979,106.379997,11.09
28/11/1979,106.769997,11.4
29/11/1979,106.809998,11.27
30/11/1979,106.160004,11.49
03/12/1979,105.830002,11.83
04/12/1979,106.790001,11.68
05/12/1979,107.25,11.64
06/12/1979,108,11.65
07/12/1979,107.519997,11.93
10/12/1979,107.669998,12.09
11/12/1979,107.489998,12.29
12/12/1979,107.519997,12.6
13/12/1979,107.669998,12.42
14/12/1979,108.919998,12.3
17/12/1979,109.330002,12.24
18/12/1979,108.300003,12.17
19/12/1979,108.199997,11.91
20/12/1979,108.260002,11.9
21/12/1979,107.589996,12.08
24/12/1979,107.660004,12.05
26/12/1979,107.779999,12
27/12/1979,107.959999,11.97
28/12/1979,107.839996,11.92
31/12/1979,107.940002,12.04
02/01/1980,105.760002,12.17
03/01/1980,105.220001,12.1
04/01/1980,106.519997,12.1
07/01/1980,106.809998,11.86
08/01/1980,108.949997,11.78
09/01/1980,109.050003,11.76
10/01/1980,109.889999,11.45
11/01/1980,109.919998,11.76
14/01/1980,110.379997,11.84
15/01/1980,111.139999,11.87
16/01/1980,111.050003,11.82
17/01/1980,110.699997,11.94
18/01/1980,111.07,12.07
21/01/1980,112.099998,12.23
22/01/1980,111.510002,12.16
23/01/1980,113.440002,12.02
24/01/1980,113.699997,12.17
25/01/1980,113.610001,12.29
28/01/1980,114.849998,12.18
29/01/1980,114.07,12.26
30/01/1980,115.199997,12.13
31/01/1980,114.160004,12
01/02/1980,115.120003,12.17
04/02/1980,114.370003,11.98
05/02/1980,114.660004,12.22
06/02/1980,115.720001,12.06
07/02/1980,116.279999,11.92
08/02/1980,117.949997,12.07
11/02/1980,117.120003,12.22
12/02/1980,117.900002,-999.99
13/02/1980,118.440002,12.18
14/02/1980,116.720001,12.23
15/02/1980,115.410004,12.8
19/02/1980,114.599998,13.4
20/02/1980,116.470001,13.3
21/02/1980,115.279999,13.42
22/02/1980,115.040001,13.38
25/02/1980,113.330002,13.65
26/02/1980,113.980003,13.85
27/02/1980,112.379997,13.84
28/02/1980,112.349998,13.57
29/02/1980,113.660004,14.01
03/03/1980,112.5,15
04/03/1980,112.779999,15.15
05/03/1980,111.129997,15.37
06/03/1980,108.650002,15.7
07/03/1980,106.900002,15.63
10/03/1980,106.510002,15.26
11/03/1980,107.779999,15.38
